customer_id,invoice_date,Recency,Frequency,AOV,LVT,Predicted_LTV,LTV_Segment
C100005,2023-03-03,5,1,1200.34,1200.34,1200.3399999999967,High
C100130,2023-02-08,28,1,1800.51,1800.51,1800.5100000000011,High
C100155,2023-03-03,5,1,300.08,300.08,300.0800000000012,Low
C100189,2023-01-05,62,1,107.52,107.52,107.52000000000031,Low
C100190,2023-01-26,41,1,35.84,35.84,35.84000000000007,Low
C100232,2023-01-11,56,1,600.17,600.17,600.1699999999985,Medium
C100236,2023-02-24,12,1,600.16,600.16,600.160000000002,Medium
C100281,2023-02-26,10,1,600.16,600.16,600.160000000002,Medium
C100367,2023-02-28,8,1,11.73,11.73,11.730000000000016,Low
C100459,2023-02-21,15,1,15.69,15.69,15.69000000000005,Low
C100545,2023-01-07,60,1,4200.0,4200.0,4200.0,High
C100551,2023-01-05,62,1,1050.0,1050.0,1050.0,High
C100561,2023-01-23,44,1,2400.68,2400.68,2400.6799999999944,High
C100703,2023-01-29,38,1,203.3,203.3,203.29999999999976,Low
C100713,2023-01-13,54,1,3150.0,3150.0,3150.0,High
C100720,2023-03-07,1,1,900.24,900.24,900.2399999999996,Medium
C100801,2023-03-04,4,1,203.3,203.3,203.29999999999976,Low
C100804,2023-03-01,7,1,40.66,40.66,40.6599999999999,Low
C100828,2023-01-22,45,1,300.08,300.08,300.0800000000013,Low
C100843,2023-01-21,46,1,107.52,107.52,107.52000000000031,Low
C100894,2023-03-08,0,1,600.16,600.16,600.1600000000018,Medium
C100955,2023-01-04,63,1,35.19,35.19,35.19000000000005,Low
C101068,2023-03-03,5,1,179.2,179.2,179.2000000000004,Low
C101133,2023-02-14,22,1,30.3,30.3,30.300000000000036,Low
C101134,2023-02-17,19,1,3150.0,3150.0,3150.0,High
C101135,2023-02-15,21,1,3150.0,3150.0,3150.0,High
C101143,2023-01-04,63,1,1500.4,1500.4,1500.4000000000053,High
C101154,2023-01-30,37,1,46.92,46.92,46.92000000000005,Low
C101221,2023-02-26,10,1,121.98,121.98,121.9799999999996,Low
C101229,2023-01-21,46,1,300.08,300.08,300.0800000000013,Low
C101253,2023-01-26,41,1,1500.4,1500.4,1500.4000000000053,High
C101278,2023-01-19,48,1,900.24,900.24,900.2399999999983,Medium
C101307,2023-02-19,17,1,179.2,179.2,179.2000000000004,Low
C101318,2023-01-31,36,1,179.2,179.2,179.2000000000004,Low
C101320,2023-01-30,37,1,3000.85,3000.85,3000.85,High
C101356,2023-03-02,6,1,300.08,300.08,300.08000000000123,Low
C101377,2023-02-02,34,1,26.15,26.15,26.15000000000005,Low
C101413,2023-01-16,51,1,900.24,900.24,900.2399999999983,Medium
C101414,2023-01-08,59,1,162.64,162.64,162.63999999999956,Low
C101427,2023-02-21,15,1,5250.0,5250.0,5250.0,High
C101432,2023-01-14,53,1,3000.85,3000.85,3000.85,High
C101484,2023-01-22,45,1,900.24,900.24,900.2399999999983,Medium
C101489,2023-01-21,46,1,300.08,300.08,300.0800000000013,Low
C101529,2023-01-24,43,1,121.98,121.98,121.9799999999996,Low
C101584,2023-01-19,48,1,1200.32,1200.32,1200.3200000000056,High
C101643,2023-01-26,41,1,203.3,203.3,203.29999999999976,Low
C101647,2023-02-23,13,1,46.92,46.92,46.92000000000005,Low
C101697,2023-02-05,31,1,600.16,600.16,600.160000000002,Medium
C101710,2023-02-26,10,1,121.98,121.98,121.9799999999996,Low
C101820,2023-02-10,26,1,1500.4,1500.4,1500.4000000000053,High
C101855,2023-02-15,21,1,300.08,300.08,300.0800000000013,Low
C101863,2023-03-08,0,1,1200.34,1200.34,1200.3399999999967,High
C101926,2023-02-14,22,1,600.16,600.16,600.160000000002,Medium
C101941,2023-02-19,17,1,71.68,71.68,71.68000000000012,Low
C101961,2023-01-06,61,1,107.52,107.52,107.52000000000031,Low
C101965,2023-02-27,9,1,58.65,58.65,58.649999999999935,Low
C102010,2023-02-25,11,1,300.08,300.08,300.0800000000013,Low
C102021,2023-01-11,56,1,203.3,203.3,203.29999999999976,Low
