invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I283774,C210614,Female,42,Toys,1,35.84,Debit Card,01-01-2023,Istinye Park
I241446,C214743,Male,67,Toys,2,71.68,Cash,01-01-2023,Kanyon
I276834,C213266,Female,65,Clothing,2,600.16,Cash,01-01-2023,Mall of Istanbul
I123490,C312949,Female,63,Clothing,4,1200.32,Cash,01-01-2023,Mall of Istanbul
I985258,C174280,Female,20,Clothing,5,1500.4,Debit Card,01-01-2023,Kanyon
I245564,C289338,Female,27,Clothing,2,600.16,Credit Card,01-01-2023,Mall of Istanbul
I137685,C121098,Female,38,Toys,4,143.36,Credit Card,01-01-2023,Kanyon
I321318,C304164,Female,48,Toys,5,179.2,Cash,01-01-2023,Istinye Park
I122256,C264437,Female,63,Food & Beverage,1,5.23,Cash,01-01-2023,Metrocity
I322119,C140512,Male,19,Toys,5,179.2,Debit Card,01-01-2023,Metrocity
I113134,C169370,Male,31,Clothing,5,1500.4,Cash,01-01-2023,Istinye Park
I189789,C186797,Female,30,Shoes,1,600.17,Cash,01-01-2023,Kanyon
I336968,C338100,Female,67,Food & Beverage,5,26.15,Credit Card,01-01-2023,Metrocity
I265057,C338868,Female,32,Food & Beverage,1,5.23,Cash,01-01-2023,Emaar Square Mall
I190360,C246668,Female,24,Food & Beverage,5,26.15,Credit Card,01-01-2023,Cevahir AVM
I276126,C135467,Female,58,Clothing,5,1500.4,Cash,01-01-2023,Metropol AVM
I199465,C144515,Female,31,Clothing,5,1500.4,Credit Card,01-01-2023,Metropol AVM
I169880,C889118,Female,33,Shoes,1,600.17,Cash,01-01-2023,Metropol AVM
I308047,C219753,Male,45,Food & Beverage,1,5.23,Credit Card,01-01-2023,Istinye Park
I164781,C122643,Female,66,Toys,1,35.84,Cash,01-01-2023,Forum Istanbul
I158574,C141167,Female,53,Clothing,2,600.16,Credit Card,01-01-2023,Kanyon
I117161,C103229,Female,51,Clothing,5,1500.4,Credit Card,01-01-2023,Metropol AVM
I437899,C286899,Female,62,Toys,3,107.52,Credit Card,01-01-2023,Kanyon
I407385,C186987,Female,52,Toys,4,143.36,Credit Card,01-01-2023,Metrocity
