customer_id,invoice_date,Recency,Frequency,AOV,LVT,Predicted_LTV
C100005,2023-03-03,5,1,1200.34,1200.34,1200.3399999999967
C100130,2023-02-08,28,1,1800.51,1800.51,1800.5100000000011
C100155,2023-03-03,5,1,300.08,300.08,300.0800000000012
C100189,2023-01-05,62,1,107.52,107.52,107.52000000000031
C100190,2023-01-26,41,1,35.84,35.84,35.84000000000007
C100232,2023-01-11,56,1,600.17,600.17,600.1699999999985
C100236,2023-02-24,12,1,600.16,600.16,600.160000000002
C100281,2023-02-26,10,1,600.16,600.16,600.160000000002
C100367,2023-02-28,8,1,11.73,11.73,11.730000000000016
C100459,2023-02-21,15,1,15.69,15.69,15.69000000000005
C100545,2023-01-07,60,1,4200.0,4200.0,4200.0
C100551,2023-01-05,62,1,1050.0,1050.0,1050.0
C100561,2023-01-23,44,1,2400.68,2400.68,2400.6799999999944
C100703,2023-01-29,38,1,203.3,203.3,203.29999999999976
C100713,2023-01-13,54,1,3150.0,3150.0,3150.0
C100720,2023-03-07,1,1,900.24,900.24,900.2399999999996
C100801,2023-03-04,4,1,203.3,203.3,203.29999999999976
C100804,2023-03-01,7,1,40.66,40.66,40.6599999999999
C100828,2023-01-22,45,1,300.08,300.08,300.0800000000013
C100843,2023-01-21,46,1,107.52,107.52,107.52000000000031
C100894,2023-03-08,0,1,600.16,600.16,600.1600000000018
C100955,2023-01-04,63,1,35.19,35.19,35.19000000000005
C101068,2023-03-03,5,1,179.2,179.2,179.2000000000004
C101133,2023-02-14,22,1,30.3,30.3,30.300000000000036
C101134,2023-02-17,19,1,3150.0,3150.0,3150.0
C101135,2023-02-15,21,1,3150.0,3150.0,3150.0
C101143,2023-01-04,63,1,1500.4,1500.4,1500.4000000000053
C101154,2023-01-30,37,1,46.92,46.92,46.92000000000005
C101221,2023-02-26,10,1,121.98,121.98,121.9799999999996
C101229,2023-01-21,46,1,300.08,300.08,300.0800000000013
C101253,2023-01-26,41,1,1500.4,1500.4,1500.4000000000053
C101278,2023-01-19,48,1,900.24,900.24,900.2399999999983
C101307,2023-02-19,17,1,179.2,179.2,179.2000000000004
C101318,2023-01-31,36,1,179.2,179.2,179.2000000000004
C101320,2023-01-30,37,1,3000.85,3000.85,3000.85
C101356,2023-03-02,6,1,300.08,300.08,300.08000000000123
C101377,2023-02-02,34,1,26.15,26.15,26.15000000000005
C101413,2023-01-16,51,1,900.24,900.24,900.2399999999983
C101414,2023-01-08,59,1,162.64,162.64,162.63999999999956
C101427,2023-02-21,15,1,5250.0,5250.0,5250.0
C101432,2023-01-14,53,1,3000.85,3000.85,3000.85
C101484,2023-01-22,45,1,900.24,900.24,900.2399999999983
C101489,2023-01-21,46,1,300.08,300.08,300.0800000000013
C101529,2023-01-24,43,1,121.98,121.98,121.9799999999996
C101584,2023-01-19,48,1,1200.32,1200.32,1200.3200000000056
C101643,2023-01-26,41,1,203.3,203.3,203.29999999999976
C101647,2023-02-23,13,1,46.92,46.92,46.92000000000005
C101697,2023-02-05,31,1,600.16,600.16,600.160000000002
C101710,2023-02-26,10,1,121.98,121.98,121.9799999999996
C101820,2023-02-10,26,1,1500.4,1500.4,1500.4000000000053
C101855,2023-02-15,21,1,300.08,300.08,300.0800000000013
C101863,2023-03-08,0,1,1200.34,1200.34,1200.3399999999967
C101926,2023-02-14,22,1,600.16,600.16,600.160000000002
C101941,2023-02-19,17,1,71.68,71.68,71.68000000000012
C101961,2023-01-06,61,1,107.52,107.52,107.52000000000031
C101965,2023-02-27,9,1,58.65,58.65,58.649999999999935
C102010,2023-02-25,11,1,300.08,300.08,300.0800000000013
C102021,2023-01-11,56,1,203.3,203.3,203.29999999999976
C102043,2023-02-04,32,1,1200.32,1200.32,1200.3200000000056
C102084,2023-02-10,26,1,1200.34,1200.34,1200.3399999999967
C102226,2023-01-09,58,1,15.15,15.15,15.150000000000018
C102255,2023-01-20,47,1,600.16,600.16,600.160000000002
C102342,2023-03-05,3,1,600.16,600.16,600.1600000000018
C102459,2023-02-18,18,1,1500.4,1500.4,1500.4000000000049
C102478,2023-01-28,39,1,35.84,35.84,35.84000000000007
C102488,2023-02-01,35,1,300.08,300.08,300.0800000000013
C102669,2023-01-27,40,1,1800.51,1800.51,1800.5100000000011
C102679,2023-02-26,10,1,162.64,162.64,162.6399999999996
C102696,2023-02-03,33,1,23.46,23.46,23.460000000000033
C102713,2023-02-14,22,1,26.15,26.15,26.15000000000005
C102773,2023-02-20,16,1,1200.32,1200.32,1200.3200000000056
C102798,2023-01-13,54,1,1200.34,1200.34,1200.3399999999967
C102843,2023-01-27,40,1,58.65,58.65,58.649999999999935
C102873,2023-01-11,56,1,162.64,162.64,162.63999999999956
C102931,2023-03-05,3,1,1200.32,1200.32,1200.3200000000054
C103014,2023-01-07,60,1,1200.32,1200.32,1200.3200000000056
C103072,2023-01-18,49,1,179.2,179.2,179.2000000000004
C103076,2023-01-28,39,1,15.69,15.69,15.69000000000005
C103090,2023-02-12,24,1,1200.32,1200.32,1200.3200000000056
C103108,2023-01-12,55,1,900.24,900.24,900.2399999999983
C103174,2023-03-06,2,1,1200.32,1200.32,1200.3200000000054
C103207,2023-01-18,49,1,300.08,300.08,300.0800000000013
